Add New Brand, Add New Brand
Brand Manage, Brand Manage
Add New Group, Add New Group
Group Manage, Group Manage
Configuration, Configuration
Brand Information, Brand Information
Design, Design
Meta Data, Meta Data
Brand Name, Brand Name
URL Key, URL Key
Brand Group, Brand Group
Image, Image
Thumbnail, Thumbnail
Description, Description
Store View, Store View
Position, Position
Status, Status
Layout Update XML, Layout Update XML
Page Title, Page Title
Keywords, Keywords
Description, Description